Sw,fw,dfw_dSw,case
0.7827999999999999,0.9664419783422838,0.40993352543750916,waterflood
0.7832000000000001,0.9666056597725088,0.40847555810660197,waterflood
0.7836000000000001,0.9667687587887692,0.40702145129534983,waterflood
0.784,0.9669312769335451,0.40557119636650896,waterflood
0.7844,0.9670932157458624,0.40412478469124835,waterflood
0.7847999999999999,0.967254576761298,0.4026822076486951,waterflood
0.7852000000000001,0.9674153615119814,0.4012434566261618,waterflood
0.7856000000000001,0.967575571526599,0.3998085230205106,waterflood
0.786,0.9677352083303978,0.3983773982361072,waterflood
0.7864,0.9678942734451879,0.3969500736855025,waterflood
0.7867999999999999,0.9680527683893462,0.39552654079125205,waterflood
0.7872000000000001,0.9682106946778208,0.39410679098386936,waterflood
0.7876000000000001,0.9683680538221333,0.3926908157025082,waterflood
0.788,0.9685248473303827,0.39127860639541723,waterflood
0.7884,0.9686810767072497,0.38987015452062224,waterflood
0.7888,0.9688367434539992,0.3884654515438797,waterflood
0.7892000000000001,0.9689918490684849,0.3870644889416326,waterflood
0.7896000000000001,0.9691463950451525,0.38566725819828207,waterflood
0.79,0.9693003828750435,0.3842737508080063,waterflood
0.7904,0.9694538140457989,0.3828839582740784,waterflood
0.7908,0.9696066900416628,0.3814978721097759,waterflood
0.7912000000000001,0.9697590123434868,0.3801154838381535,waterflood
0.7916000000000001,0.9699107824287332,0.37873678499067864,waterflood
0.792,0.9700620017714793,0.37736176710927793,waterflood
0.7924,0.9702126718424205,0.3759904217456551,waterflood
0.7928,0.9703627941088758,0.37462274046151833,waterflood
0.7932000000000001,0.9705123700347899,0.3732587148274433,waterflood
0.7936000000000001,0.970661401080738,0.37189833642582926,waterflood
0.794,0.9708098887039305,0.37054159684703336,waterflood
0.7944,0.9709578343582156,0.36918848769278156,waterflood
0.7948,0.9711052394940846,0.36783900057389474,waterflood
0.7952000000000001,0.9712521055586749,0.36649312711347193,waterflood
0.7956000000000001,0.9713984339957753,0.36515085894257027,waterflood
0.796,0.971544226245829,0.36381218770384294,waterflood
0.7964,0.9716894837459384,0.3624771050504023,waterflood
0.7968,0.9718342079298693,0.36114560264513784,waterflood
0.7972000000000001,0.9719784002280546,0.35981767216208027,waterflood
0.7976000000000001,0.9721220620675989,0.3584933052852648,waterflood
0.798,0.9722651948722829,0.35717249371055004,waterflood
0.7984,0.9724078000625673,0.35585522914334433,waterflood
0.7988,0.9725498790555975,0.3545415032999699,waterflood
0.7992000000000001,0.9726914332652075,0.3532313079085725,waterflood
0.7996000000000001,0.9728324641019245,0.35192463470684743,waterflood
0.8,0.9729729729729729,0.35062147544431355,waterflood
0.8004,0.9731129612822799,0.3493218218811762,waterflood
0.8008,0.9732524304304778,0.34802566578855476,waterflood
0.8012000000000001,0.973391381814911,0.34673299894984666,waterflood
0.8016000000000001,0.9735298168296378,0.34544381315754435,waterflood
0.802,0.9736677368654371,0.34415810021732796,waterflood
0.8024,0.9738051433098116,0.34287585194465464,waterflood
0.8028,0.9739420375469927,0.341597060166805,waterflood
0.8032000000000001,0.9740784209579454,0.3403217167242474,waterflood
0.8036000000000001,0.974214294920372,0.3390498134651807,waterflood
0.804,0.9743496608087175,0.33778134225258327,waterflood
0.8044,0.974484519994174,0.33651629495898305,waterflood
0.8048,0.9746188738446847,0.33525466346964095,waterflood
0.8052000000000001,0.9747527237249498,0.33399643968118653,waterflood
0.8056000000000001,0.9748860709964295,0.33274161550093595,waterflood
0.806,0.9750189170173506,0.331490182849393,waterflood
0.8064,0.9751512631427092,0.3302421336582029,waterflood
0.8068,0.9752831107242772,0.3289974598706067,waterflood
0.8072000000000001,0.9754144611106056,0.32775615344121434,waterflood
